2021-11-22 11:43:44,088 INFO       decos Произошел вызов функции process_user_message со следующими параметрами - ({'action': 'presence', 'time': 1637570624.0465896, 'user': {'account_name': 'test3'}}, [], <socket.socket fd=548, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 58379)>, [<socket.socket fd=300, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 58377)>, <socket.socket fd=392, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 58378)>, <socket.socket fd=548, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 58379)>, <socket.socket fd=388, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 58380)>], {'test1': <socket.socket fd=300, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 58377)>, 'test2': <socket.socket fd=392, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 58378)>, 'test3': <socket.socket fd=548, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 58379)>}), {}. Вызов произошел из функции main() модуля decos.py
2021-11-22 11:43:45,102 INFO       server Соединение с ('127.0.0.1', 58377) разорвано.
2021-11-22 11:43:45,102 INFO       server Соединение с ('127.0.0.1', 58378) разорвано.
2021-11-22 11:43:45,103 INFO       decos Произошел вызов функции get_message со следующими параметрами - (<socket.socket fd=388, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 58380)>,), {}. Вызов произошел из функции main() модуля decos.py
2021-11-22 11:43:45,103 INFO       server Разбор сообщения {'action': 'presence', 'time': 1637570624.0845976, 'user': {'account_name': 'test4'}}.
2021-11-22 11:43:45,105 INFO       decos Произошел вызов функции send_message со следующими параметрами - (<socket.socket fd=388, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 58380)>, {'response': 200}), {}. Вызов произошел из функции main() модуля decos.py
2021-11-22 11:43:45,105 INFO       server Зарегистрирован новый пользователь <socket.socket fd=388, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 58380)>.
2021-11-22 11:43:45,106 INFO       decos Произошел вызов функции process_user_message со следующими параметрами - ({'action': 'presence', 'time': 1637570624.0845976, 'user': {'account_name': 'test4'}}, [], <socket.socket fd=388, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 58380)>, [<socket.socket fd=548, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 58379)>, <socket.socket fd=388, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 58380)>], {'test1': <socket.socket [closed] fd=-1, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0>, 'test2': <socket.socket [closed] fd=-1, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0>, 'test3': <socket.socket fd=548, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 58379)>, 'test4': <socket.socket fd=388, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 58380)>}), {}. Вызов произошел из функции main() модуля decos.py
2021-11-22 11:43:46,119 INFO       server Соединение с ('127.0.0.1', 58379) разорвано.
2021-11-22 11:43:47,134 INFO       server Соединение с ('127.0.0.1', 58380) разорвано.
